Time(s)	V(m/s)
0.000	10.433
0.010	10.445
0.020	10.458
0.030	10.471
0.040	10.484
0.050	10.497
0.060	10.510
0.070	10.523
0.080	10.538
0.090	10.556
0.100	10.575
0.110	10.597
0.120	10.622
0.130	10.648
0.140	10.675
0.150	10.700
0.160	10.722
0.170	10.739
0.180	10.749
0.190	10.751
0.200	10.744
0.210	10.729
0.220	10.706
0.230	10.678
0.240	10.647
0.250	10.616
0.260	10.588
0.270	10.566
0.280	10.554
0.290	10.553
0.300	10.564
0.310	10.587
0.320	10.623
0.330	10.669
0.340	10.723
0.350	10.782
0.360	10.844
0.370	10.906
0.380	10.965
0.390	11.018
0.400	11.066
0.410	11.105
0.420	11.137
0.430	11.160
0.440	11.175
0.450	11.182
0.460	11.182
0.470	11.173
0.480	11.156
0.490	11.131
0.500	11.097
0.510	11.054
0.520	11.004
0.530	10.946
0.540	10.882
0.550	10.814
0.560	10.744
0.570	10.676
0.580	10.614
0.590	10.559
0.600	10.516
0.610	10.487
0.620	10.473
0.630	10.475
0.640	10.491
0.650	10.520
0.660	10.558
0.670	10.603
0.680	10.649
0.690	10.694
0.700	10.733
0.710	10.763
0.720	10.783
0.730	10.793
0.740	10.791
0.750	10.781
0.760	10.765
0.770	10.745
0.780	10.725
0.790	10.707
0.800	10.693
0.810	10.684
0.820	10.681
0.830	10.683
0.840	10.688
0.850	10.694
0.860	10.699
0.870	10.700
0.880	10.694
0.890	10.682
0.900	10.661
0.910	10.633
0.920	10.599
0.930	10.562
0.940	10.524
0.950	10.488
0.960	10.456
0.970	10.432
0.980	10.416
0.990	10.410
1.000	10.412
1.010	10.421
1.020	10.435
1.030	10.452
1.040	10.470
1.050	10.485
1.060	10.497
1.070	10.505
1.080	10.509
1.090	10.510
1.100	10.509
1.110	10.509
1.120	10.513
1.130	10.523
1.140	10.540
1.150	10.565
1.160	10.598
1.170	10.638
1.180	10.683
1.190	10.730
1.200	10.775
1.210	10.813
1.220	10.843
1.230	10.860
1.240	10.864
1.250	10.853
1.260	10.828
1.270	10.790
1.280	10.743
1.290	10.690
1.300	10.634
1.310	10.580
1.320	10.531
1.330	10.488
1.340	10.454
1.350	10.429
1.360	10.412
1.370	10.401
1.380	10.393
1.390	10.387
1.400	10.380
1.410	10.368
1.420	10.351
1.430	10.327
1.440	10.297
1.450	10.260
1.460	10.220
1.470	10.177
1.480	10.135
1.490	10.095
1.500	10.059
1.510	10.029
1.520	10.005
1.530	9.988
1.540	9.976
1.550	9.968
1.560	9.963
1.570	9.959
1.580	9.955
1.590	9.948
1.600	9.939
1.610	9.927
1.620	9.913
1.630	9.897
1.640	9.880
1.650	9.865
1.660	9.853
1.670	9.844
1.680	9.840
1.690	9.841
1.700	9.848
1.710	9.858
1.720	9.873
1.730	9.889
1.740	9.907
1.750	9.924
1.760	9.941
1.770	9.955
1.780	9.968
1.790	9.978
1.800	9.987
1.810	9.994
1.820	10.000
1.830	10.006
1.840	10.011
1.850	10.017
1.860	10.022
1.870	10.027
1.880	10.030
1.890	10.031
1.900	10.029
1.910	10.024
1.920	10.014
1.930	10.001
1.940	9.984
1.950	9.965
1.960	9.943
1.970	9.921
1.980	9.899
1.990	9.879
2.000	9.862
2.010	9.847
2.020	9.836
2.030	9.828
2.040	9.822
2.050	9.817
2.060	9.812
2.070	9.806
2.080	9.797
2.090	9.785
2.100	9.770
2.110	9.751
2.120	9.729
2.130	9.704
2.140	9.678
2.150	9.652
2.160	9.627
2.170	9.605
2.180	9.586
2.190	9.570
2.200	9.559
2.210	9.551
2.220	9.547
2.230	9.546
2.240	9.547
2.250	9.549
2.260	9.552
2.270	9.554
2.280	9.556
2.290	9.557
2.300	9.557
2.310	9.556
2.320	9.554
2.330	9.551
2.340	9.547
2.350	9.543
2.360	9.537
2.370	9.529
2.380	9.520
2.390	9.510
2.400	9.497
2.410	9.484
2.420	9.470
2.430	9.457
2.440	9.446
2.450	9.439
2.460	9.437
2.470	9.443
2.480	9.457
2.490	9.481
2.500	9.514
2.510	9.556
2.520	9.606
2.530	9.661
2.540	9.719
2.550	9.776
2.560	9.829
2.570	9.876
2.580	9.914
2.590	9.941
2.600	9.955
2.610	9.957
2.620	9.947
2.630	9.928
2.640	9.901
2.650	9.871
2.660	9.839
2.670	9.809
2.680	9.783
2.690	9.764
2.700	9.752
