Mean Speed	Mean Blade Disp	Std_Dev Blade Disp	Mean Tower Disp	Std_Dev Tower Disp
4.000	0.131	0.013	0.068	0.011
5.000	0.204	0.021	0.106	0.017
6.000	0.289	0.029	0.151	0.023
7.000	0.373	0.038	0.195	0.029
8.000	0.462	0.047	0.241	0.036
9.000	0.584	0.060	0.305	0.044
10.000	0.721	0.073	0.377	0.053
11.000	0.873	0.088	0.456	0.064
12.000	0.736	0.076	0.384	0.058
13.000	0.627	0.066	0.328	0.055
14.000	0.561	0.060	0.293	0.053
15.000	0.516	0.057	0.269	0.052
16.000	0.479	0.054	0.250	0.051
17.000	0.448	0.051	0.234	0.051
18.000	0.425	0.050	0.222	0.050
19.000	0.403	0.048	0.210	0.050
20.000	0.386	0.047	0.202	0.050
21.000	0.371	0.046	0.194	0.050
22.000	0.360	0.046	0.188	0.051
23.000	0.347	0.045	0.181	0.051
24.000	0.337	0.044	0.176	0.051
25.000	0.327	0.044	0.170	0.051
