Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.725	0.042
1.201	0.516	0.338
1.802	0.267	0.573
2.402	0.649	0.443
3.003	0.289	0.174
3.604	0.394	-0.087
4.204	0.402	-0.084
4.805	0.18	0.175
5.405	0.463	0.386
6.006	0.466	0.446
6.607	0.389	0.319
7.207	0.258	0.08
7.808	0.227	-0.102
8.408	0.271	-0.077
9.009	0.232	0.143
9.61	0.301	0.348
10.21	0.373	0.378
10.811	0.29	0.23
11.411	0.241	0.015
12.012	0.278	-0.094
12.613	0.178	0.009
13.213	0.235	0.196
13.814	0.329	0.317
14.414	0.244	0.296
15.015	0.21	0.123
15.616	0.227	-0.059
16.216	0.21	-0.08
16.817	0.292	0.078
17.417	0.355	0.302
18.018	0.458	0.422
18.619	0.382	0.364
19.219	0.28	0.155
19.82	0.249	-0.059
20.42	0.249	-0.097
21.021	0.348	0.079
21.622	0.479	0.354
22.222	0.258	0.51
22.823	0.418	0.342
23.423	0.443	0.05
24.024	0.455	-0.068
24.625	0.285	0.087
25.225	0.369	0.309
25.826	0.504	0.427
26.426	0.33	0.373
27.027	0.49	0.156
27.628	0.267	0.009
28.228	0.242	-0.004
28.829	0.36	0.111
29.429	0.25	0.283
30.03	0.326	0.326
30.631	0.366	0.223
31.231	0.299	0.084
31.832	0.214	0.011
32.432	0.247	0.036
33.033	0.342	0.149
33.634	0.353	0.286
34.234	0.309	0.326
34.835	0.365	0.22
35.435	0.41	0.086
36.036	0.315	0.065
36.637	0.297	0.141
37.237	0.371	0.229
37.838	0.371	0.284
38.438	0.197	0.243
39.039	0.4	0.094
39.64	0.2	0.026
40.24	0.313	0.05
40.841	0.38	0.175
41.441	0.168	0.303
42.042	0.418	0.259
42.643	0.367	0.162
43.243	0.182	0.082
43.844	0.447	0.038
44.444	0.315	0.153
45.045	0.253	0.282
45.646	0.418	0.283
46.246	0.339	0.212
46.847	0.352	0.116
47.447	0.32	0.078
48.048	0.237	0.118
48.649	0.462	0.18
49.249	0.308	0.276
49.85	0.422	0.282
50.45	0.455	0.227
51.051	0.315	0.172
51.652	0.431	0.126
52.252	0.243	0.154
52.853	0.505	0.183
53.453	0.511	0.272
54.054	0.154	0.335
54.655	0.547	0.207
55.255	0.356	0.119
55.856	0.169	0.096
56.456	0.345	0.085
57.057	0.185	0.141
57.658	0.373	0.176
58.258	0.418	0.221
58.859	0.322	0.256
59.459	0.41	0.219
60.06	0.422	0.176
60.661	0.302	0.168
61.261	0.315	0.156
61.862	0.381	0.157
62.462	0.337	0.188
63.063	0.338	0.208
63.664	0.405	0.202
64.264	0.418	0.201
64.865	0.298	0.208
65.465	0.393	0.179
66.066	0.393	0.17
66.667	0.273	0.184
67.267	0.446	0.176
67.868	0.383	0.209
68.468	0.42	0.239
69.069	0.45	0.251
69.67	0.261	0.238
70.27	0.324	0.141
70.871	0.334	0.068
71.471	0.125	0.083
72.072	0.22	0.098
72.673	0.3	0.128
73.273	0.221	0.18
73.874	0.219	0.176
74.474	0.294	0.121
75.075	0.27	0.089
75.676	0.356	0.112
76.276	0.356	0.199
76.877	0.146	0.259
77.477	0.364	0.177
78.078	0.192	0.084
78.679	0.202	0.017
79.279	0.39	0.042
79.88	0.187	0.191
80.48	0.431	0.279
81.081	0.435	0.305
81.682	0.354	0.253
82.282	0.54	0.154
82.883	0.332	0.152
83.483	0.413	0.188
84.084	0.423	0.243
84.685	0.321	0.269
85.285	0.499	0.217
85.886	0.431	0.191
86.486	0.416	0.199
87.087	0.523	0.229
87.688	0.472	0.292
88.288	0.489	0.319
88.889	0.531	0.286
89.489	0.529	0.242
90.09	0.416	0.224
90.691	0.664	0.222
91.291	0.554	0.318
91.892	0.703	0.401
92.492	0.754	0.445
93.093	0.486	0.426
93.694	0.58	0.267
94.294	0.535	0.131
94.895	0.506	0.129
95.495	0.559	0.256
96.096	0.56	0.412
96.697	0.57	0.459
97.297	0.468	0.351
97.898	0.443	0.151
98.498	0.47	0.03
99.099	0.518	0.107
99.7	0.581	0.333
100.3	0.622	0.526
100.901	0.66	0.535
101.502	0.619	0.368
102.102	0.566	0.165
102.703	0.381	0.073
103.303	0.568	0.117
103.904	0.495	0.309
104.505	0.479	0.46
105.105	0.43	0.411
105.706	0.546	0.203
106.306	0.402	0.052
106.907	0.424	0.058
107.508	0.396	0.213
108.108	0.417	0.361
108.709	0.442	0.379
109.309	0.371	0.255
109.91	0.353	0.079
110.511	0.242	-0.003
111.111	0.268	0.043
111.712	0.321	0.18
112.312	0.235	0.295
112.913	0.317	0.259
113.514	0.379	0.136
114.114	0.296	0.065
114.715	0.319	0.081
115.315	0.383	0.179
115.916	0.403	0.296
116.517	0.352	0.327
117.117	0.413	0.231
117.718	0.412	0.12
118.318	0.332	0.092
118.919	0.391	0.145
119.52	0.355	0.246
120.12	0.351	0.293
120.721	0.454	0.244
121.321	0.332	0.176
121.922	0.365	0.114
122.523	0.488	0.129
123.123	0.272	0.238
123.724	0.513	0.288
124.324	0.319	0.289
124.925	0.351	0.196
125.526	0.294	0.086
126.126	0.184	0.033
126.727	0.497	0.062
127.327	0.354	0.245
127.928	0.495	0.39
128.529	0.519	0.405
129.129	0.474	0.293
129.73	0.606	0.149
130.33	0.511	0.149
130.931	0.408	0.255
131.532	0.617	0.34
132.132	0.511	0.394
132.733	0.35	0.327
133.333	0.562	0.149
133.934	0.386	0.081
134.535	0.471	0.14
135.135	0.548	0.298
135.736	0.418	0.431
136.336	0.651	0.388
136.937	0.504	0.278
137.538	0.323	0.154
138.138	0.48	0.063
138.739	0.376	0.132
139.339	0.436	0.272
139.94	0.421	0.364
140.541	0.408	0.322
141.141	0.475	0.184
141.742	0.355	0.095
142.342	0.466	0.103
142.943	0.477	0.234
143.544	0.377	0.373
